,Data ID,Data Name,Data Length,Priority,Read/Write,Write Protect Register,Byte 8,Byte 7,Byte 6,Byte 5,Byte 4,Byte 3,Byte 2,Byte 1,Description,Bit Width Per Register,Sign or Unsigned,"Comments
1. Even Parity for R/W registers at the byte level, Mod 2 = 0
2. Byte 8-7 is reserved for packet counter",Default Value [TBD]
Telemetry - Raw ADC counts,0x00,Telemetry Group 1,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, BATT2_CURR[11:8]}",BATT2_CURR[7:0],"{4b0000, BATT1_CURR[11:8]}",BATT1_CURR[7:0],"{4b0000, CHG_CURR[11:8]}",CHG_CURR[7:0],"Byte 8-7: Reserved
Byte 6-5: Battery 2 Current (BATT2_CURR), 12-BIT
Byte 4-3: Battery 1 Current (BATT1_CURR), 12-BIT
Byte 2-1: Charger Current (CHG_CURR), 12-BIT",12-bit,unsigned,,
,0x01,Telemetry Group 2,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, LA_IMON[11:8]}",LA_IMON[7:0],"{4b0000, RL_IMON[11:8]}",RL_IMON[7:0],"{4b0000, LL_IMON[11:8]}",LL_IMON[7:0],"Byte 8-7: Reserved
Byte 6-5: Left Arm Current (LA_IMON), 12-BIT
Byte 4-3: Right Leg Current (RL_IMON), 12-BIT
Byte 2-1: Left Leg Current (LL_IMON), 12-BIT",12-bit,unsigned,,
,0x02,Telemetry Group 3,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, CHG_IN[11:8]}",CHG_IN[7:0],"{4b0000, TR_IMON[11:8]}",TR_IMON[7:0],"{4b0000, RA_IMON[11:8]}",RA_IMON[7:0],"Byte 8-7: Reserved
Byte 6-5: Charger Input Voltage (CHG_IN), 12-BIT
Byte 4-3: Pelvis/Waist Current (TR_IMON), 12-BIT
Byte 2-1: Right Arm Current (RA_IMON), 12-BIT",12-bit,unsigned,,
,0x03,Telemetry Group 4,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, BATT2_IN[11:8]}",BATT2_IN[7:0],"{4b0000, BATT1_IN[11:8]}",BATT1_IN[7:0],"{4b0000, HV[11:8]}",HV[7:0],"Byte 8-7: Reserved
Byte 6-5: Battery 2 Input Voltage (BATT2_IN), 12-BIT
Byte 4-3: Battery 1 Input Voltage (BATT1_IN), 12-BIT
Byte 2-1: High Voltage Bus Voltage (HV), 12-BIT",12-bit,unsigned,,
,0x04,Telemetry Group 5,8,4,Read Only,N/A,RSVD,RSVD,"{4b0000, CHG_HV[11:8]}",CHG_HV[7:0],"{4b0000, MOT_BUS[11:8]}",MOT_BUS[7:0],"{4b0000, NK_IMON[11:8]}",NK_IMON[7:0],"Byte 8-7: Reserved
Byte 6-5: Charger High Voltage (CHG_HV), 12-BIT
Byte 4-3: Motor Bus Voltage (MOT_BUS), 12-BIT
Byte 2-1: Head Current (NK_IMON), 12-BIT",12-bit,unsigned,,
,0x05,Telemetry Group 6,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, USER_HV_CURR[11:8]}",USER_HV_CURR[7:0],"{4b0000, USER_HV[11:8]}",USER_HV[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: User HV Current (USER_HV_CURR), 12-BIT
Byte 2-1: User HV Bus Voltage (USER_HV), 12-BIT",12-bit,unsigned,,
,0x06,Telemetry Group 7,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, PC_24V_IMON[11:8]}",PC_24V_IMON[7:0],"{4b0000, PC_24V[11:8]}",PC_24V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: PC 24V Bus Current (PC_24V_IMON), 12-BIT
Byte 2-1: PC 24V Bus Voltage (PC_24V), 12-BIT",12-bit,unsigned,,
,0x07,Telemetry Group 8,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, USER_24V_IMON[11:8]}",USER_24V_IMON[7:0],"{4b0000, USER_24V[11:8]}",USER_24V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: USER 24V Bus Current (USER_24V_IMON), 12-BIT
Byte 2-1: USER 24V Bus Voltage (USER_24V), 12-BIT",12-bit,unsigned,,
,0x08,Telemetry Group 9,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, PC_A_12V_IMON[11:8]}",PC_A_12V_IMON[7:0],"{4b0000, PC_A_12V[11:8]}",PC_A_12V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: PC A 12V Bus Current (PC_A_12V_IMON), 12-BIT
Byte 2-1: PC A 12V Bus Voltage (PC_A_12V), 12-BIT",12-bit,unsigned,,
,0x09,Telemetry Group 10,8,4,Read Only,N/A,RSVD,RSVD,RSVD,RSVD,"{4b0000, PC_B_12V_IMON[11:8]}",PC_B_12V_IMON[7:0],"{4b0000, PC_B_12V[11:8]}",PC_B_12V[7:0],"Byte 8-7: Reserved
Byte 6-5: Reserved
Byte 4-3: PC B 12V Bus Current (PC_B_12V_IMON), 12-BIT
Byte 2-1: PC B 12V Bus Voltage (PC_B_12V), 12-BIT",12-bit,unsigned,,
